Index,Bab,Kategori,Kanji,Kana,Romaji,Arti,Kelas Kata,Konjugasi,Transitivitas,Catatan Tambahan
2302,46,Kata Benda,留守番,るすばん,rusuban,Orang yang bertugas menjaga {rumah kosong},Kata Benda,,,
2303,46,Kata Benda,宅配便,たくはいびん,takuhai bin,Pengiriman Pos {Titipan Kilat} diantar sampai rumah,Kata Benda,,,
2304,46,Kata Benda,原因,げんいん,genin,Sebab {Akibat},Kata Benda,,,
2305,46,Kata Benda,～の所,～のところ,~no tokoro,Tempat …,Kata Benda,,,
2306,46,Kata Benda,半年,はんとし,hantoshi,Setengah tahun,Kata Benda,,,
2307,46,Kata Keterangan,ちょうど,ちょうど,choudo,Pas / Tepat,Kata Keterangan,,,
2308,46,Kata Keterangan,たった今,たったいま,tatta ima,Baru saja,Kata Keterangan,,,たったいまバスがでました
2309,46,Kata Benda,ガスサービスセンター,ガスサービスセンター,gasu saabisu sentaa,Gas Service Center Pusat Pelayanan Gas,Kata Benda,,,
2310,46,Kata Benda,ガスレンジ,ガスレンジ,gasu renji,Kompor Gas,Kata Benda,,,
2311,46,Kata Benda,具合,ぐあい,guai,Kondisi {Kesehatan},Kata Benda,,,
2312,46,Ekspresi,申し訳ありません,もうしわけありません,moushiwake arimasen,Maaf (Hormat),Ekspresi,,,
2313,46,Ekspresi,ごめんなさい,ごめんなさい,gomennasai,Maaf (Kasual / Tulus),Ekspresi,,,
2314,46,Ekspresi,どちら様でしょうか,どちらさまでしょうか,dochira sama deshouka,Siapa / Atas nama siapa? (Hormat),Ekspresi,,,
2315,46,Ekspresi,誰ですか,だれですか,dare desuka,Siapa?,Ekspresi,,,
2316,46,Ekspresi,お待たせしました,おまたせしました,omatase shimashita,(Maaf) Saya telah membuat Anda menunggu.,Ekspresi,,,
2317,46,Kata Kerja,待たせます,またせます,matasemasu,Membuat orang lain menunggu,Kata Kerja,Godan (I),Tadoushi (Transitif),Bab 48
2318,46,Kata Kerja,向かいます,むかいます,mukaimasu,Menuju,Kata Kerja,Godan (I),Jidoushi (Intransitif),きたにむかいます：Menuju ke Utara
2319,46,Kata Kerja,ついています,ついています,tsuiteimasu,Mujur / Beruntung / Hoki,Kata Kerja,Ichidan (II),Jidoushi (Intransitif),
2320,46,Kata Benda,床,ゆか,yuka,Lantai,Kata Benda,,,
2321,46,Kata Kerja,転びます,ころびます,korobimasu,Jatuh {terguling},Kata Kerja,Godan (I),Jidoushi (Intransitif),
2322,46,Kata Benda,ベル,ベル,beru,Bel,Kata Benda,,,
2323,46,Kata Kerja,成ります,なります,narimasu,Menjadi,Kata Kerja,Godan (I),Jidoushi (Intransitif),
2324,46,Kata Keterangan,慌てて,あわてて,awatete,{Dengan / Secara} Tergesa-gesa,Kata Keterangan,,,
2325,46,Kata Keterangan,順番に,じゅんばんに,junban ni,Secara berurut {Sesuai urutan},Kata Keterangan,,,
2326,46,Kata Benda,出来事,できごと,dekigoto,Peristiwa,Kata Benda,,,
